index.png,state1.png,state5.png,state7.png,state9.png,state17.png,state26.png,state41.png,state45.png,state50.png,state57.png,state66.png,state77.png,state86.png,state89.png,state98.png,state101.png,state106.png,state115.png,state118.png,state123.png,state130.png,state139.png,state142.png,state147.png,state154.png,state163.png,state172.png,state175.png,state180.png,state187.png,state194.png,state206.png,state216.png,state219.png,state224.png,state231.png,state241.png,state251.png,state258.png,state267.png,state270.png,state275.png,state282.png,state305.png,state312.png,state321.png,state324.png,state329.png,state336.png,state345.png,state355.png,state362.png,state369.png,state376.png,state385.png,state388.png,state393.png,state400.png,state423.png,state430.png,state437.png,state452.png,state455.png,state460.png,state467.png,state488.png,state495.png,state502.png,state509.png,state518.png,state527.png,state532.png,state539.png,state548.png,state558.png,state565.png,state570.png,state577.png,state606.png,state613.png,state636.png,state643.png,state648.png,state655.png,state664.png,state681.png,state686.png,state707.png,state714.png,state721.png,state750.png,state759.png,state774.png,state779.png,state786.png,state815.png,state824.png,state827.png,state832.png,state841.png,state846.png,state851.png,state858.png,state867.png,state882.png,state891.png,state898.png,state913.png,state918.png,state945.png,state954.png,state957.png,state962.png,state967.png,state972.png,state981.png,state988.png,state1015.png,state1022.png,state1029.png,state1042.png,state1047.png,state1050.png,state1065.png,state1086.png,state1095.png,state1100.png,state1105.png,state1110.png,state1119.png,state1126.png,state1141.png,state1144.png,state1149.png,state1164.png,state1173.png,state1176.png,state1181.png,state1192.png,state1197.png,state1200.png,state1215.png,state1218.png,state1233.png,state1250.png,state1257.png,state1264.png,state1277.png
17.0,17.0,10.0,14.0,25.0,15.0,13.0,15.0,5.0,13.0,6.0,14.0,6.0,17.0,3.0,17.0,8.0,14.0,17.0,8.0,15.0,2.0,17.0,8.0,12.0,17.0,3.0,16.0,8.0,14.0,15.0,25.0,0.0,17.0,8.0,12.0,15.0,11.0,15.0,10.0,16.0,8.0,11.0,15.0,9.0,5.0,16.0,8.0,11.0,15.0,12.0,15.0,10.0,13.0,17.0,17.0,8.0,11.0,15.0,9.0,6.0,15.0,17.0,8.0,13.0,17.0,9.0,14.0,15.0,13.0,15.0,8.0,12.0,18.0,11.0,16.0,10.0,6.0,15.0,13.0,16.0,9.0,3.0,15.0,14.0,15.0,17.0,15.0,10.0,14.0,15.0,15.0,12.0,10.0,2.0,17.0,15.0,11.0,15.0,15.0,10.0,3.0,18.0,14.0,16.0,15.0,14.0,15.0,0.0,16.0,15.0,11.0,15.0,15.0,11.0,11.0,15.0,15.0,15.0,11.0,15.0,15.0,15.0,15.0,7.0,17.0,11.0,15.0,11.0,12.0,15.0,12.0,13.0,15.0,15.0,15.0,12.0,16.0,15.0,15.0,15.0,15.0,6.0,15.0,15.0,16.0,15.0,17.0,15.0
19.0,19.0,8.0,6.0,25.0,7.0,11.0,3.0,13.0,17.0,14.0,18.0,16.0,9.0,13.0,9.0,8.0,18.0,9.0,8.0,11.0,16.0,9.0,8.0,10.0,3.0,13.0,8.0,8.0,12.0,1.0,25.0,16.0,9.0,8.0,8.0,1.0,9.0,1.0,6.0,8.0,8.0,9.0,1.0,7.0,13.0,8.0,8.0,9.0,1.0,8.0,1.0,6.0,17.0,3.0,9.0,8.0,9.0,1.0,7.0,14.0,1.0,9.0,8.0,11.0,9.0,7.0,18.0,1.0,17.0,1.0,8.0,8.0,2.0,9.0,8.0,6.0,16.0,1.0,11.0,0.0,7.0,13.0,1.0,18.0,1.0,3.0,1.0,6.0,18.0,1.0,1.0,12.0,6.0,16.0,9.0,1.0,9.0,1.0,1.0,6.0,13.0,2.0,18.0,8.0,1.0,12.0,1.0,16.0,0.0,1.0,9.0,1.0,1.0,9.0,9.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,13.0,9.0,9.0,1.0,9.0,8.0,1.0,10.0,17.0,1.0,1.0,1.0,10.0,8.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,0.0,11.0,9.0,1.0
18.0,18.0,7.0,5.0,24.0,8.0,10.0,2.0,12.0,16.0,13.0,17.0,15.0,10.0,12.0,10.0,7.0,17.0,10.0,7.0,10.0,15.0,10.0,7.0,9.0,2.0,12.0,9.0,7.0,11.0,0.0,24.0,15.0,10.0,7.0,7.0,0.0,8.0,0.0,5.0,9.0,7.0,8.0,0.0,6.0,12.0,9.0,7.0,8.0,0.0,7.0,0.0,5.0,16.0,2.0,10.0,7.0,8.0,0.0,6.0,13.0,0.0,10.0,7.0,10.0,8.0,6.0,17.0,0.0,16.0,0.0,7.0,7.0,3.0,8.0,7.0,5.0,15.0,0.0,10.0,1.0,6.0,12.0,0.0,17.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,11.0,5.0,15.0,8.0,0.0,8.0,0.0,0.0,5.0,12.0,3.0,17.0,7.0,0.0,11.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,8.0,7.0,0.0,9.0,16.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,10.0,8.0,0.0
20.0,20.0,9.0,9.0,28.0,10.0,10.0,10.0,10.0,18.0,11.0,19.0,11.0,12.0,8.0,12.0,5.0,19.0,12.0,7.0,4.0,11.0,12.0,7.0,1.0,10.0,10.0,11.0,7.0,5.0,8.0,28.0,11.0,12.0,7.0,1.0,8.0,0.0,8.0,5.0,11.0,7.0,0.0,8.0,6.0,10.0,11.0,7.0,8.0,8.0,1.0,8.0,7.0,18.0,10.0,12.0,5.0,0.0,8.0,6.0,11.0,8.0,12.0,9.0,4.0,12.0,6.0,19.0,8.0,18.0,8.0,7.0,3.0,11.0,0.0,11.0,7.0,11.0,8.0,8.0,9.0,6.0,8.0,8.0,19.0,8.0,10.0,8.0,5.0,19.0,8.0,8.0,3.0,7.0,11.0,12.0,8.0,0.0,8.0,8.0,7.0,10.0,11.0,19.0,11.0,8.0,5.0,8.0,11.0,9.0,8.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,8.0,8.0,0.0,1.0,8.0,1.0,18.0,8.0,8.0,8.0,1.0,11.0,8.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0,6.0,12.0,8.0
18.0,18.0,7.0,5.0,24.0,8.0,10.0,2.0,12.0,16.0,13.0,17.0,15.0,10.0,12.0,10.0,7.0,17.0,10.0,7.0,10.0,15.0,10.0,7.0,9.0,2.0,12.0,9.0,7.0,11.0,0.0,24.0,15.0,10.0,7.0,7.0,0.0,8.0,0.0,5.0,9.0,7.0,8.0,0.0,6.0,12.0,9.0,7.0,8.0,0.0,7.0,0.0,5.0,16.0,2.0,10.0,7.0,8.0,0.0,6.0,13.0,0.0,10.0,7.0,10.0,8.0,6.0,17.0,0.0,16.0,0.0,7.0,7.0,3.0,8.0,7.0,5.0,15.0,0.0,10.0,1.0,6.0,12.0,0.0,17.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,11.0,5.0,15.0,8.0,0.0,8.0,0.0,0.0,5.0,12.0,3.0,17.0,7.0,0.0,11.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,8.0,7.0,0.0,9.0,16.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,10.0,8.0,0.0
18.0,18.0,7.0,5.0,24.0,8.0,10.0,2.0,12.0,16.0,13.0,17.0,15.0,10.0,12.0,10.0,7.0,17.0,10.0,7.0,10.0,15.0,10.0,7.0,9.0,2.0,12.0,9.0,7.0,11.0,0.0,24.0,15.0,10.0,7.0,7.0,0.0,8.0,0.0,5.0,9.0,7.0,8.0,0.0,6.0,12.0,9.0,7.0,8.0,0.0,7.0,0.0,5.0,16.0,2.0,10.0,7.0,8.0,0.0,6.0,13.0,0.0,10.0,7.0,10.0,8.0,6.0,17.0,0.0,16.0,0.0,7.0,7.0,3.0,8.0,7.0,5.0,15.0,0.0,10.0,1.0,6.0,12.0,0.0,17.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,11.0,5.0,15.0,8.0,0.0,8.0,0.0,0.0,5.0,12.0,3.0,17.0,7.0,0.0,11.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,8.0,7.0,0.0,9.0,16.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,10.0,8.0,0.0
20.0,20.0,9.0,9.0,28.0,10.0,10.0,10.0,10.0,18.0,11.0,19.0,11.0,12.0,8.0,12.0,5.0,19.0,12.0,7.0,4.0,11.0,12.0,7.0,1.0,10.0,10.0,11.0,7.0,5.0,8.0,28.0,11.0,12.0,7.0,1.0,8.0,0.0,8.0,5.0,11.0,7.0,0.0,8.0,6.0,10.0,11.0,7.0,8.0,8.0,1.0,8.0,7.0,18.0,10.0,12.0,5.0,0.0,8.0,6.0,11.0,8.0,12.0,9.0,4.0,12.0,6.0,19.0,8.0,18.0,8.0,7.0,3.0,11.0,0.0,11.0,7.0,11.0,8.0,8.0,9.0,6.0,8.0,8.0,19.0,8.0,10.0,8.0,5.0,19.0,8.0,8.0,3.0,7.0,11.0,12.0,8.0,0.0,8.0,8.0,7.0,10.0,11.0,19.0,11.0,8.0,5.0,8.0,11.0,9.0,8.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,8.0,8.0,0.0,1.0,8.0,1.0,18.0,8.0,8.0,8.0,1.0,11.0,8.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0,6.0,12.0,8.0
20.0,20.0,9.0,9.0,28.0,10.0,10.0,10.0,10.0,18.0,11.0,19.0,11.0,12.0,8.0,12.0,5.0,19.0,12.0,7.0,4.0,11.0,12.0,7.0,1.0,10.0,10.0,11.0,7.0,5.0,8.0,28.0,11.0,12.0,7.0,1.0,8.0,0.0,8.0,5.0,11.0,7.0,0.0,8.0,6.0,10.0,11.0,7.0,8.0,8.0,1.0,8.0,7.0,18.0,10.0,12.0,5.0,0.0,8.0,6.0,11.0,8.0,12.0,9.0,4.0,12.0,6.0,19.0,8.0,18.0,8.0,7.0,3.0,11.0,0.0,11.0,7.0,11.0,8.0,8.0,9.0,6.0,8.0,8.0,19.0,8.0,10.0,8.0,5.0,19.0,8.0,8.0,3.0,7.0,11.0,12.0,8.0,0.0,8.0,8.0,7.0,10.0,11.0,19.0,11.0,8.0,5.0,8.0,11.0,9.0,8.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,8.0,8.0,0.0,1.0,8.0,1.0,18.0,8.0,8.0,8.0,1.0,11.0,8.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0,6.0,12.0,8.0
18.0,18.0,7.0,5.0,24.0,8.0,10.0,2.0,12.0,16.0,13.0,17.0,15.0,10.0,12.0,10.0,7.0,17.0,10.0,7.0,10.0,15.0,10.0,7.0,9.0,2.0,12.0,9.0,7.0,11.0,0.0,24.0,15.0,10.0,7.0,7.0,0.0,8.0,0.0,5.0,9.0,7.0,8.0,0.0,6.0,12.0,9.0,7.0,8.0,0.0,7.0,0.0,5.0,16.0,2.0,10.0,7.0,8.0,0.0,6.0,13.0,0.0,10.0,7.0,10.0,8.0,6.0,17.0,0.0,16.0,0.0,7.0,7.0,3.0,8.0,7.0,5.0,15.0,0.0,10.0,1.0,6.0,12.0,0.0,17.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,11.0,5.0,15.0,8.0,0.0,8.0,0.0,0.0,5.0,12.0,3.0,17.0,7.0,0.0,11.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,8.0,7.0,0.0,9.0,16.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,10.0,8.0,0.0
18.0,18.0,7.0,5.0,24.0,8.0,10.0,2.0,12.0,16.0,13.0,17.0,15.0,10.0,12.0,10.0,7.0,17.0,10.0,7.0,10.0,15.0,10.0,7.0,9.0,2.0,12.0,9.0,7.0,11.0,0.0,24.0,15.0,10.0,7.0,7.0,0.0,8.0,0.0,5.0,9.0,7.0,8.0,0.0,6.0,12.0,9.0,7.0,8.0,0.0,7.0,0.0,5.0,16.0,2.0,10.0,7.0,8.0,0.0,6.0,13.0,0.0,10.0,7.0,10.0,8.0,6.0,17.0,0.0,16.0,0.0,7.0,7.0,3.0,8.0,7.0,5.0,15.0,0.0,10.0,1.0,6.0,12.0,0.0,17.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,11.0,5.0,15.0,8.0,0.0,8.0,0.0,0.0,5.0,12.0,3.0,17.0,7.0,0.0,11.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,8.0,7.0,0.0,9.0,16.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,10.0,8.0,0.0
18.0,18.0,7.0,5.0,24.0,8.0,10.0,2.0,12.0,16.0,13.0,17.0,15.0,10.0,12.0,10.0,7.0,17.0,10.0,7.0,10.0,15.0,10.0,7.0,9.0,2.0,12.0,9.0,7.0,11.0,0.0,24.0,15.0,10.0,7.0,7.0,0.0,8.0,0.0,5.0,9.0,7.0,8.0,0.0,6.0,12.0,9.0,7.0,8.0,0.0,7.0,0.0,5.0,16.0,2.0,10.0,7.0,8.0,0.0,6.0,13.0,0.0,10.0,7.0,10.0,8.0,6.0,17.0,0.0,16.0,0.0,7.0,7.0,3.0,8.0,7.0,5.0,15.0,0.0,10.0,1.0,6.0,12.0,0.0,17.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,11.0,5.0,15.0,8.0,0.0,8.0,0.0,0.0,5.0,12.0,3.0,17.0,7.0,0.0,11.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,8.0,7.0,0.0,9.0,16.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,10.0,8.0,0.0
20.0,20.0,9.0,9.0,28.0,10.0,10.0,10.0,10.0,18.0,11.0,19.0,11.0,12.0,8.0,12.0,5.0,19.0,12.0,7.0,4.0,11.0,12.0,7.0,1.0,10.0,10.0,11.0,7.0,5.0,8.0,28.0,11.0,12.0,7.0,1.0,8.0,0.0,8.0,5.0,11.0,7.0,0.0,8.0,6.0,10.0,11.0,7.0,8.0,8.0,1.0,8.0,7.0,18.0,10.0,12.0,5.0,0.0,8.0,6.0,11.0,8.0,12.0,9.0,4.0,12.0,6.0,19.0,8.0,18.0,8.0,7.0,3.0,11.0,0.0,11.0,7.0,11.0,8.0,8.0,9.0,6.0,8.0,8.0,19.0,8.0,10.0,8.0,5.0,19.0,8.0,8.0,3.0,7.0,11.0,12.0,8.0,0.0,8.0,8.0,7.0,10.0,11.0,19.0,11.0,8.0,5.0,8.0,11.0,9.0,8.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,8.0,8.0,0.0,1.0,8.0,1.0,18.0,8.0,8.0,8.0,1.0,11.0,8.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0,6.0,12.0,8.0
18.0,18.0,7.0,5.0,24.0,8.0,10.0,2.0,12.0,16.0,13.0,17.0,15.0,10.0,12.0,10.0,7.0,17.0,10.0,7.0,10.0,15.0,10.0,7.0,9.0,2.0,12.0,9.0,7.0,11.0,0.0,24.0,15.0,10.0,7.0,7.0,0.0,8.0,0.0,5.0,9.0,7.0,8.0,0.0,6.0,12.0,9.0,7.0,8.0,0.0,7.0,0.0,5.0,16.0,2.0,10.0,7.0,8.0,0.0,6.0,13.0,0.0,10.0,7.0,10.0,8.0,6.0,17.0,0.0,16.0,0.0,7.0,7.0,3.0,8.0,7.0,5.0,15.0,0.0,10.0,1.0,6.0,12.0,0.0,17.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,11.0,5.0,15.0,8.0,0.0,8.0,0.0,0.0,5.0,12.0,3.0,17.0,7.0,0.0,11.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,8.0,7.0,0.0,9.0,16.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,10.0,8.0,0.0
18.0,18.0,7.0,5.0,24.0,8.0,10.0,2.0,12.0,16.0,13.0,17.0,15.0,10.0,12.0,10.0,7.0,17.0,10.0,7.0,10.0,15.0,10.0,7.0,9.0,2.0,12.0,9.0,7.0,11.0,0.0,24.0,15.0,10.0,7.0,7.0,0.0,8.0,0.0,5.0,9.0,7.0,8.0,0.0,6.0,12.0,9.0,7.0,8.0,0.0,7.0,0.0,5.0,16.0,2.0,10.0,7.0,8.0,0.0,6.0,13.0,0.0,10.0,7.0,10.0,8.0,6.0,17.0,0.0,16.0,0.0,7.0,7.0,3.0,8.0,7.0,5.0,15.0,0.0,10.0,1.0,6.0,12.0,0.0,17.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,11.0,5.0,15.0,8.0,0.0,8.0,0.0,0.0,5.0,12.0,3.0,17.0,7.0,0.0,11.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,8.0,7.0,0.0,9.0,16.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,10.0,8.0,0.0
18.0,18.0,7.0,5.0,24.0,8.0,10.0,2.0,12.0,16.0,13.0,17.0,15.0,10.0,12.0,10.0,7.0,17.0,10.0,7.0,10.0,15.0,10.0,7.0,9.0,2.0,12.0,9.0,7.0,11.0,0.0,24.0,15.0,10.0,7.0,7.0,0.0,8.0,0.0,5.0,9.0,7.0,8.0,0.0,6.0,12.0,9.0,7.0,8.0,0.0,7.0,0.0,5.0,16.0,2.0,10.0,7.0,8.0,0.0,6.0,13.0,0.0,10.0,7.0,10.0,8.0,6.0,17.0,0.0,16.0,0.0,7.0,7.0,3.0,8.0,7.0,5.0,15.0,0.0,10.0,1.0,6.0,12.0,0.0,17.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,11.0,5.0,15.0,8.0,0.0,8.0,0.0,0.0,5.0,12.0,3.0,17.0,7.0,0.0,11.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,8.0,7.0,0.0,9.0,16.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,10.0,8.0,0.0
18.0,18.0,7.0,5.0,24.0,8.0,10.0,2.0,12.0,16.0,13.0,17.0,15.0,10.0,12.0,10.0,7.0,17.0,10.0,7.0,10.0,15.0,10.0,7.0,9.0,2.0,12.0,9.0,7.0,11.0,0.0,24.0,15.0,10.0,7.0,7.0,0.0,8.0,0.0,5.0,9.0,7.0,8.0,0.0,6.0,12.0,9.0,7.0,8.0,0.0,7.0,0.0,5.0,16.0,2.0,10.0,7.0,8.0,0.0,6.0,13.0,0.0,10.0,7.0,10.0,8.0,6.0,17.0,0.0,16.0,0.0,7.0,7.0,3.0,8.0,7.0,5.0,15.0,0.0,10.0,1.0,6.0,12.0,0.0,17.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,11.0,5.0,15.0,8.0,0.0,8.0,0.0,0.0,5.0,12.0,3.0,17.0,7.0,0.0,11.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,8.0,7.0,0.0,9.0,16.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,10.0,8.0,0.0
16.0,16.0,11.0,11.0,22.0,16.0,12.0,14.0,2.0,18.0,7.0,19.0,3.0,18.0,6.0,18.0,11.0,19.0,18.0,11.0,12.0,9.0,18.0,11.0,9.0,14.0,4.0,17.0,11.0,7.0,12.0,22.0,7.0,18.0,11.0,9.0,12.0,8.0,12.0,11.0,17.0,11.0,8.0,12.0,10.0,2.0,17.0,11.0,10.0,12.0,9.0,12.0,9.0,18.0,14.0,18.0,11.0,8.0,12.0,8.0,7.0,12.0,18.0,11.0,8.0,18.0,10.0,19.0,12.0,18.0,12.0,11.0,9.0,15.0,8.0,17.0,9.0,3.0,12.0,12.0,13.0,10.0,6.0,12.0,19.0,12.0,14.0,12.0,11.0,19.0,12.0,12.0,9.0,9.0,9.0,18.0,12.0,8.0,12.0,12.0,9.0,4.0,15.0,19.0,17.0,12.0,7.0,12.0,7.0,13.0,12.0,8.0,12.0,12.0,8.0,8.0,12.0,12.0,12.0,8.0,12.0,12.0,12.0,12.0,0.0,18.0,10.0,12.0,8.0,9.0,12.0,9.0,18.0,12.0,12.0,12.0,9.0,17.0,12.0,12.0,12.0,12.0,7.0,12.0,12.0,13.0,8.0,18.0,12.0
20.0,20.0,11.0,11.0,26.0,10.0,14.0,8.0,18.0,18.0,17.0,19.0,21.0,12.0,16.0,12.0,9.0,19.0,12.0,11.0,14.0,17.0,12.0,11.0,13.0,8.0,16.0,11.0,11.0,17.0,8.0,26.0,17.0,12.0,11.0,13.0,8.0,12.0,8.0,11.0,11.0,11.0,12.0,8.0,12.0,18.0,11.0,11.0,12.0,8.0,13.0,8.0,11.0,18.0,8.0,12.0,9.0,12.0,8.0,12.0,17.0,8.0,12.0,11.0,16.0,0.0,12.0,19.0,8.0,18.0,8.0,11.0,13.0,9.0,12.0,3.0,11.0,21.0,8.0,14.0,9.0,12.0,16.0,8.0,19.0,8.0,8.0,8.0,11.0,19.0,8.0,8.0,13.0,11.0,17.0,0.0,8.0,12.0,8.0,8.0,11.0,16.0,9.0,19.0,3.0,8.0,17.0,8.0,17.0,9.0,8.0,12.0,8.0,8.0,12.0,12.0,8.0,8.0,8.0,12.0,8.0,8.0,8.0,8.0,18.0,0.0,12.0,8.0,12.0,13.0,8.0,13.0,18.0,8.0,8.0,8.0,13.0,3.0,8.0,8.0,8.0,8.0,17.0,8.0,8.0,9.0,16.0,0.0,8.0
18.0,18.0,13.0,13.0,26.0,14.0,14.0,10.0,10.0,14.0,11.0,15.0,13.0,16.0,8.0,16.0,9.0,15.0,16.0,7.0,6.0,11.0,16.0,7.0,9.0,10.0,10.0,15.0,7.0,11.0,8.0,26.0,11.0,16.0,7.0,7.0,8.0,8.0,8.0,7.0,15.0,7.0,8.0,8.0,6.0,10.0,15.0,7.0,0.0,8.0,7.0,8.0,5.0,14.0,10.0,16.0,9.0,8.0,8.0,6.0,11.0,8.0,16.0,7.0,10.0,12.0,6.0,15.0,8.0,14.0,8.0,7.0,7.0,11.0,8.0,11.0,5.0,13.0,8.0,4.0,9.0,6.0,8.0,8.0,15.0,8.0,10.0,8.0,7.0,15.0,8.0,8.0,7.0,5.0,11.0,12.0,8.0,8.0,8.0,8.0,5.0,10.0,11.0,15.0,11.0,8.0,11.0,8.0,11.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,12.0,0.0,8.0,8.0,7.0,8.0,9.0,14.0,8.0,8.0,8.0,9.0,11.0,8.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0,12.0,12.0,8.0
18.0,18.0,7.0,5.0,24.0,8.0,10.0,2.0,12.0,16.0,13.0,17.0,15.0,10.0,12.0,10.0,7.0,17.0,10.0,7.0,10.0,15.0,10.0,7.0,9.0,2.0,12.0,9.0,7.0,11.0,0.0,24.0,15.0,10.0,7.0,7.0,0.0,8.0,0.0,5.0,9.0,7.0,8.0,0.0,6.0,12.0,9.0,7.0,8.0,0.0,7.0,0.0,5.0,16.0,2.0,10.0,7.0,8.0,0.0,6.0,13.0,0.0,10.0,7.0,10.0,8.0,6.0,17.0,0.0,16.0,0.0,7.0,7.0,3.0,8.0,7.0,5.0,15.0,0.0,10.0,1.0,6.0,12.0,0.0,17.0,0.0,2.0,0.0,5.0,17.0,0.0,0.0,11.0,5.0,15.0,8.0,0.0,8.0,0.0,0.0,5.0,12.0,3.0,17.0,7.0,0.0,11.0,0.0,15.0,1.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,0.0,8.0,7.0,0.0,9.0,16.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,10.0,8.0,0.0
20.0,20.0,9.0,9.0,28.0,10.0,10.0,10.0,10.0,18.0,11.0,19.0,11.0,12.0,8.0,12.0,5.0,19.0,12.0,7.0,4.0,11.0,12.0,7.0,1.0,10.0,10.0,11.0,7.0,5.0,8.0,28.0,11.0,12.0,7.0,1.0,8.0,0.0,8.0,5.0,11.0,7.0,0.0,8.0,6.0,10.0,11.0,7.0,8.0,8.0,1.0,8.0,7.0,18.0,10.0,12.0,5.0,0.0,8.0,6.0,11.0,8.0,12.0,9.0,4.0,12.0,6.0,19.0,8.0,18.0,8.0,7.0,3.0,11.0,0.0,11.0,7.0,11.0,8.0,8.0,9.0,6.0,8.0,8.0,19.0,8.0,10.0,8.0,5.0,19.0,8.0,8.0,3.0,7.0,11.0,12.0,8.0,0.0,8.0,8.0,7.0,10.0,11.0,19.0,11.0,8.0,5.0,8.0,11.0,9.0,8.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,12.0,8.0,8.0,0.0,1.0,8.0,1.0,18.0,8.0,8.0,8.0,1.0,11.0,8.0,8.0,8.0,8.0,11.0,8.0,8.0,9.0,6.0,12.0,8.0
21.0,21.0,10.0,10.0,29.0,11.0,11.0,9.0,11.0,17.0,12.0,18.0,12.0,13.0,9.0,13.0,6.0,18.0,13.0,6.0,3.0,12.0,13.0,6.0,2.0,9.0,11.0,12.0,6.0,6.0,7.0,29.0,12.0,13.0,6.0,0.0,7.0,1.0,7.0,4.0,12.0,6.0,1.0,7.0,5.0,11.0,12.0,6.0,7.0,7.0,0.0,7.0,6.0,17.0,9.0,13.0,6.0,1.0,7.0,5.0,12.0,7.0,13.0,8.0,5.0,13.0,5.0,18.0,7.0,17.0,7.0,6.0,2.0,10.0,1.0,12.0,6.0,12.0,7.0,7.0,8.0,5.0,9.0,7.0,18.0,7.0,9.0,7.0,4.0,18.0,7.0,7.0,4.0,6.0,12.0,13.0,7.0,1.0,7.0,7.0,6.0,11.0,10.0,18.0,12.0,7.0,6.0,7.0,12.0,8.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,9.0,13.0,7.0,7.0,1.0,0.0,7.0,2.0,17.0,7.0,7.0,7.0,2.0,12.0,7.0,7.0,7.0,7.0,12.0,7.0,7.0,8.0,7.0,13.0,7.0
